bairro,grau
Boa Vista,11
Casa Amarela,11
Cordeiro,9
Curado,9
Graças,9
Afogados,8
Arruda,8
Encruzilhada,8
San Martin,8
Água Fria,8
Brejo de Beberibe,7
Iputinga,7
Jardim São Paulo,7
Tamarineira,7
Vasco da Gama,7
Alto José Bonifácio,6
Alto José do Pinho,6
Apipucos,6
Areias,6
Campo Grande,6
Madalena,6
Nova Descoberta,6
Parnamirim,6
Prado,6
Santo Amaro,6
Torre,6
Alto do Mandu,5
Barro,5
Bomba do Hemetério,5
Brejo da Guabiraba,5
Campina do Barreto,5
Dois Unidos,5
Engenho do Meio,5
Espinheiro,5
Guabiraba,5
Linha do Tiro,5
Mangabeira,5
Monteiro,5
Rosarinho,5
Santana,5
Santo Antônio,5
São José,5
Torrões,5
Aflitos,4
Alto Santa Teresinha,4
Beberibe,4
Bongi,4
Cabanga,4
Casa Forte,4
Caxangá,4
Cidade Universitária,4
Coelhos,4
Córrego do Jenipapo,4
Derby,4
Ibura,4
Ilha do Retiro,4
Imbiribeira,4
Jaqueira,4
Jiquiá,4
Macaxeira,4
Mangueira,4
Mustardinha,4
Paissandu,4
Passarinho,4
Pina,4
Ponto de Parada,4
Sancho,4
Tejipió,4
Torreão,4
Zumbi,4
Boa Viagem,3
Cohab,3
Coqueiral,3
Dois Irmãos,3
Estância,3
Ilha Joana Bezerra,3
Ilha do Leite,3
Ipsep,3
Jordão,3
Morro da Conceição,3
Peixinhos,3
Porto da Madeira,3
Recife,3
Totó,3
Várzea,3
Cajueiro,2
Fundão,2
Hipódromo,2
Poço da Panela,2
Soledade,2
Sítio dos Pintos,2
Alto Santa Terezinha,1
Brasilia Teimosa,1
Caxanga,1
Caçote,1
Córrego de Jenipapo,1
Dois irmãos,1
Hipodromo,1
Jiquiá Rua Bom Jardim,1
Jiquiá Rua José Guimarães,1
Linha do TIro,1
Morro da conceição,1
Pau-Ferro,1
Poço Da Panela,1
Tejipio,1
Torres,1
Varzea,1
